"","id","crime"
"104","Noite-2014-12-30-Wilshire","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"105","Noite-2014-12-17-Wilshire","THEFT PLAIN - PETTY ($950 & UNDER)"
"106","Tarde-2014-12-26-Wilshire","THEFT OF IDENTITY"
"107","Noite-2014-12-30-Wilshire","VIOLATION OF RESTRAINING ORDER"
"108","Manha-2014-12-20-Wilshire","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"109","Noite-2014-12-28-Wilshire","VEHICLE - STOLEN"
"110","Noite-2014-12-29-Wilshire","BURGLARY FROM VEHICLE"
"111","Tarde-2014-12-14-Wilshire","THEFT PLAIN - PETTY ($950 & UNDER)"
"112","Noite-2014-12-30-Wilshire","ARSON"
"113","Noite-2014-12-30-Wilshire","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"114","Manha-2014-12-31-Wilshire","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"115","Manha-2014-12-31-Wilshire","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"116","Noite-2014-12-26-Wilshire","THEFT OF IDENTITY"
"117","Tarde-2014-12-30-West LA","THEFT PLAIN - PETTY ($950 & UNDER)"
"118","Tarde-2014-12-22-West LA","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"119","Tarde-2014-12-31-West LA","BRANDISH WEAPON"
"120","Noite-2014-12-30-West LA","VEHICLE - STOLEN"
"121","Noite-2014-12-30-West LA","CRIMINAL THREATS - NO WEAPON DISPLAYED"
"122","Tarde-2014-12-21-West LA","THEFT PLAIN - PETTY ($950 & UNDER)"
"123","Noite-2014-12-07-West LA","BUNCO, PETTY THEFT"
"124","Noite-2014-12-30-West LA","BURGLARY FROM VEHICLE"
"125","Manha-2014-12-27-West LA","VEHICLE - STOLEN"
"126","Noite-2014-12-30-West LA","VEHICLE - STOLEN"
"127","Tarde-2014-11-01-West LA","THEFT PLAIN - PETTY ($950 & UNDER)"
"128","Noite-2014-11-24-Van Nuys","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
